0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 92 94 96 98 100 102 104 106 108 110 112 114 116 118 120 122 124 126 128 130 132 134 136 138 140 142 144 146 148 150 152 154 156 158 160 162 164 166 168 170 172 174 176 178 180 182 184 186 188 190 192 194 196 198 200 202 204 206 208 210 212 214 216 218 220 222 224 226 228 230 232 234 236 238 240 242 244 246 248 250 252 254 256 258 260 262 264 266 268 270 272 274 276 278 280 282 284 286 288 290 292 294 296 298 300 302 304 306 308 310 312 314 316 318 320 322 324 326 328 330 332 334 336 338 340 342 344 346 348 350 352 354 356 358 
0.538598 0.538598 0.537711 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.240461 0.238687 0.437445 0.538598 0.538598 0.538598 0.537711 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.239574 0.238687 0.238687 0.239574 0.239574 0.238687 0.299024 0.424135 0.238687 0.238687 0.299024 0.424135 0.238687 0.238687 0.299024 0.424135 0.238687 0.238687 0.239574 0.717835 0.958296 0.833185 0.356699 0.243123 0.243123 0.188997 0.100266 0.188110 0.188110 0.189885 0.274179 0.100266 0.100266 0.100266 0.100266 0.107365 0.106477 0.114463 0.278616 0.297249 0.146406 0.391304 0.400177 0.119787 0.297249 0.362023 0.121562 0.202307 0.275067 0.281278 0.181899 0.090506 0.075421 0.075421 0.087844 0.252884 0.463177 0.397516 0.228926 0.137533 0.075421 0.075421 0.114463 0.126886 0.108252 0.075421 0.152618 0.258208 0.230701 0.134871 0.075421 0.125111 0.110027 0.075421 0.075421 0.075421 0.110027 0.100266 0.075421 0.075421 0.075421 0.075421 0.075421 0.079858 0.081633 0.075421 0.075421 0.075421 0.119787 0.206744 0.149068 0.147294 0.148181 0.078083 0.057675 0.057675 0.055901 0.065661 0.073647 0.059450 0.045253 0.045253 0.087844 0.115350 0.133984 0.113576 0.103815 0.076309 0.033718 0.029281 0.042591 0.068323 0.054126 0.023957 0.055013 0.077196 0.094942 0.066548 0.101154 0.117125 0.047028 0.034605 0.039042 0.030169 0.063886 0.122449 0.106477 0.071872 0.050577 0.070098 0.095830 0.107365 0.105590 0.087844 0.094942 0.065661 0.062112 0.075421 0.074534 0.066548 0.057675 0.050577 0.063886 0.058563 0.060337 0.080745 0.093168 0.102041 0.104703 0.091393 0.093168 0.109139 0.125998 0.130435 0.055901 0.000000 
0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000000 
0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000000 
0.001912 0.001916 0.001912 0.001911 0.001911 0.001911 0.001911 0.001911 0.001911 0.001910 0.001909 0.001910 0.001908 0.001908 0.001916 0.001920 0.001918 0.001913 0.001912 0.001912 0.001912 0.001911 0.001911 0.001911 0.001912 0.001910 0.001908 0.001907 0.001907 0.001907 0.001909 0.001909 0.001908 0.001909 0.001910 0.001907 0.001907 0.001908 0.001910 0.001909 0.001906 0.001906 0.001907 0.001908 0.001907 0.001909 0.001843 0.001713 0.001722 0.001579 0.001433 0.001637 0.001836 0.001825 0.001803 0.001757 0.001664 0.001600 0.001695 0.001784 0.001770 0.001752 0.001744 0.001757 0.001652 0.001576 0.001680 0.001769 0.001775 0.001760 0.001747 0.001773 0.001771 0.001753 0.001754 0.001724 0.001686 0.001695 0.001704 0.001706 0.001706 0.001706 0.001701 0.001680 0.001665 0.001697 0.001722 0.001718 0.001704 0.001695 0.001697 0.001686 0.001645 0.001642 0.001678 0.001692 0.001660 0.001596 0.001603 0.001661 0.001706 0.001722 0.001693 0.001678 0.001686 0.001688 0.001688 0.001683 0.001686 0.001685 0.001670 0.001648 0.001644 0.001652 0.001603 0.001537 0.001481 0.001403 0.001365 0.001370 0.001352 0.001335 0.001313 0.001289 0.001264 0.001252 0.001255 0.001252 0.001253 0.001240 0.001206 0.001168 0.001143 0.001139 0.001147 0.001149 0.001145 0.001146 0.001154 0.001182 0.001214 0.001230 0.001273 0.001292 0.001267 0.001252 0.001261 0.001271 0.001296 0.001311 0.001307 0.001300 0.001284 0.001281 0.001306 0.001335 0.001368 0.001383 0.001363 0.001324 0.001292 0.001283 0.001283 0.001250 0.001221 0.001212 0.001208 0.001202 0.001190 0.001202 0.001198 0.001196 0.001196 0.001200 0.001204 0.001196 0.001202 0.001193 0.001154 0.000000 
0.018916 0.021526 0.016880 0.014024 0.014024 0.014024 0.014024 0.014024 0.014024 0.014017 0.014007 0.014025 0.013714 0.015039 0.020327 0.023531 0.021539 0.016890 0.014033 0.014028 0.014028 0.014024 0.014024 0.014024 0.014035 0.014017 0.014004 0.014001 0.013998 0.013997 0.014708 0.015442 0.014004 0.014013 0.014718 0.015426 0.013991 0.014004 0.014711 0.014905 0.012778 0.012778 0.013104 0.018180 0.021940 0.020121 0.013097 0.011029 0.010297 0.007916 0.005825 0.007536 0.008162 0.008169 0.008643 0.006301 0.005712 0.005312 0.005739 0.006205 0.006052 0.005749 0.007688 0.007939 0.005658 0.008779 0.009589 0.006039 0.007915 0.008837 0.005635 0.006922 0.007713 0.007634 0.006253 0.005415 0.005163 0.005256 0.005459 0.007341 0.010653 0.009601 0.007051 0.005940 0.005172 0.005454 0.005933 0.006003 0.005741 0.005476 0.006002 0.007183 0.006677 0.005700 0.005266 0.005620 0.005387 0.004794 0.004794 0.005011 0.005354 0.005332 0.004864 0.004711 0.004753 0.004750 0.004768 0.004956 0.005027 0.004932 0.004852 0.004657 0.005113 0.006066 0.005070 0.004654 0.004492 0.003472 0.003195 0.003233 0.003163 0.003145 0.003133 0.002920 0.002687 0.002684 0.003008 0.003269 0.003378 0.002980 0.002638 0.002118 0.001595 0.001613 0.001754 0.001919 0.001739 0.001566 0.001780 0.002136 0.002441 0.002184 0.002773 0.002966 0.001968 0.001796 0.001824 0.001811 0.002182 0.002831 0.002655 0.002256 0.001989 0.002268 0.002652 0.002828 0.002904 0.002729 0.002763 0.002337 0.002144 0.002224 0.002152 0.001973 0.001793 0.001623 0.001730 0.001733 0.001719 0.001934 0.002074 0.002203 0.002266 0.002206 0.002271 0.002495 0.002782 0.002741 0.001938 0.000000 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 92 94 96 98 100 102 104 106 108 110 112 114 116 118 120 122 124 126 128 130 132 134 136 138 140 142 144 146 148 150 152 154 156 158 160 162 164 166 168 170 172 174 176 178 180 182 184 186 188 190 192 194 196 198 200 202 204 206 208 210 212 214 216 218 220 222 224 226 228 230 232 234 236 238 240 242 244 246 248 250 252 254 256 258 260 262 264 266 268 270 272 274 276 278 280 282 284 286 288 290 292 294 296 298 300 302 304 306 308 310 312 314 316 318 320 322 324 326 328 330 332 334 336 338 340 342 344 346 348 350 352 354 356 358 
0.538598 0.538598 0.537711 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.240461 0.238687 0.437445 0.538598 0.538598 0.538598 0.537711 0.238687 0.238687 0.238687 0.238687 0.238687 0.238687 0.239574 0.238687 0.238687 0.239574 0.239574 0.238687 0.299024 0.424135 0.238687 0.238687 0.299024 0.424135 0.238687 0.238687 0.299024 0.424135 0.238687 0.238687 0.239574 0.717835 0.958296 0.833185 0.356699 0.243123 0.243123 0.188997 0.100266 0.188110 0.188110 0.189885 0.274179 0.100266 0.100266 0.100266 0.100266 0.107365 0.106477 0.114463 0.278616 0.297249 0.146406 0.391304 0.400177 0.119787 0.297249 0.362023 0.121562 0.202307 0.275067 0.281278 0.181899 0.090506 0.075421 0.075421 0.087844 0.252884 0.463177 0.397516 0.228926 0.137533 0.075421 0.075421 0.114463 0.126886 0.108252 0.075421 0.152618 0.258208 0.230701 0.134871 0.075421 0.125111 0.110027 0.075421 0.075421 0.075421 0.110027 0.100266 0.075421 0.075421 0.075421 0.075421 0.075421 0.079858 0.081633 0.075421 0.075421 0.075421 0.119787 0.206744 0.149068 0.147294 0.148181 0.078083 0.057675 0.057675 0.055901 0.065661 0.073647 0.059450 0.045253 0.045253 0.087844 0.115350 0.133984 0.113576 0.103815 0.076309 0.033718 0.029281 0.042591 0.068323 0.054126 0.023957 0.055013 0.077196 0.094942 0.066548 0.101154 0.117125 0.047028 0.034605 0.039042 0.030169 0.063886 0.122449 0.106477 0.071872 0.050577 0.070098 0.095830 0.107365 0.105590 0.087844 0.094942 0.065661 0.062112 0.075421 0.074534 0.066548 0.057675 0.050577 0.063886 0.058563 0.060337 0.080745 0.093168 0.102041 0.104703 0.091393 0.093168 0.109139 0.125998 0.130435 0.055901 0.000000 
0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000000 
0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000887 0.000000 
0.001912 0.001916 0.001912 0.001911 0.001911 0.001911 0.001911 0.001911 0.001911 0.001910 0.001909 0.001910 0.001908 0.001908 0.001916 0.001920 0.001918 0.001913 0.001912 0.001912 0.001912 0.001911 0.001911 0.001911 0.001912 0.001910 0.001908 0.001907 0.001907 0.001907 0.001909 0.001909 0.001908 0.001909 0.001910 0.001907 0.001907 0.001908 0.001910 0.001909 0.001906 0.001906 0.001907 0.001908 0.001907 0.001909 0.001843 0.001713 0.001722 0.001579 0.001433 0.001637 0.001836 0.001825 0.001803 0.001757 0.001664 0.001600 0.001695 0.001784 0.001770 0.001752 0.001744 0.001757 0.001652 0.001576 0.001680 0.001769 0.001775 0.001760 0.001747 0.001773 0.001771 0.001753 0.001754 0.001724 0.001686 0.001695 0.001704 0.001706 0.001706 0.001706 0.001701 0.001680 0.001665 0.001697 0.001722 0.001718 0.001704 0.001695 0.001697 0.001686 0.001645 0.001642 0.001678 0.001692 0.001660 0.001596 0.001603 0.001661 0.001706 0.001722 0.001693 0.001678 0.001686 0.001688 0.001688 0.001683 0.001686 0.001685 0.001670 0.001648 0.001644 0.001652 0.001603 0.001537 0.001481 0.001403 0.001365 0.001370 0.001352 0.001335 0.001313 0.001289 0.001264 0.001252 0.001255 0.001252 0.001253 0.001240 0.001206 0.001168 0.001143 0.001139 0.001147 0.001149 0.001145 0.001146 0.001154 0.001182 0.001214 0.001230 0.001273 0.001292 0.001267 0.001252 0.001261 0.001271 0.001296 0.001311 0.001307 0.001300 0.001284 0.001281 0.001306 0.001335 0.001368 0.001383 0.001363 0.001324 0.001292 0.001283 0.001283 0.001250 0.001221 0.001212 0.001208 0.001202 0.001190 0.001202 0.001198 0.001196 0.001196 0.001200 0.001204 0.001196 0.001202 0.001193 0.001154 0.000000 
0.018916 0.021526 0.016880 0.014024 0.014024 0.014024 0.014024 0.014024 0.014024 0.014017 0.014007 0.014025 0.013714 0.015039 0.020327 0.023531 0.021539 0.016890 0.014033 0.014028 0.014028 0.014024 0.014024 0.014024 0.014035 0.014017 0.014004 0.014001 0.013998 0.013997 0.014708 0.015442 0.014004 0.014013 0.014718 0.015426 0.013991 0.014004 0.014711 0.014905 0.012778 0.012778 0.013104 0.018180 0.021940 0.020121 0.013097 0.011029 0.010297 0.007916 0.005825 0.007536 0.008162 0.008169 0.008643 0.006301 0.005712 0.005312 0.005739 0.006205 0.006052 0.005749 0.007688 0.007939 0.005658 0.008779 0.009589 0.006039 0.007915 0.008837 0.005635 0.006922 0.007713 0.007634 0.006253 0.005415 0.005163 0.005256 0.005459 0.007341 0.010653 0.009601 0.007051 0.005940 0.005172 0.005454 0.005933 0.006003 0.005741 0.005476 0.006002 0.007183 0.006677 0.005700 0.005266 0.005620 0.005387 0.004794 0.004794 0.005011 0.005354 0.005332 0.004864 0.004711 0.004753 0.004750 0.004768 0.004956 0.005027 0.004932 0.004852 0.004657 0.005113 0.006066 0.005070 0.004654 0.004492 0.003472 0.003195 0.003233 0.003163 0.003145 0.003133 0.002920 0.002687 0.002684 0.003008 0.003269 0.003378 0.002980 0.002638 0.002118 0.001595 0.001613 0.001754 0.001919 0.001739 0.001566 0.001780 0.002136 0.002441 0.002184 0.002773 0.002966 0.001968 0.001796 0.001824 0.001811 0.002182 0.002831 0.002655 0.002256 0.001989 0.002268 0.002652 0.002828 0.002904 0.002729 0.002763 0.002337 0.002144 0.002224 0.002152 0.001973 0.001793 0.001623 0.001730 0.001733 0.001719 0.001934 0.002074 0.002203 0.002266 0.002206 0.002271 0.002495 0.002782 0.002741 0.001938 0.000000 
